model,line,name,date,price
3,P,Model 3 Performance,2020-01-29,56990
3,P,Model 3 Performance,2020-05-22,56990
3,P,Model 3 Performance,2020-05-26,56990
3,P,Model 3 Performance,2020-05-27,54990
3,P,Model 3 Performance,2020-11-15,54990
3,P,Model 3 Performance,2020-11-16,54990
3,P,Model 3 Performance,2021-02-16,54990
3,P,Model 3 Performance,2021-02-17,55900
3,P,Model 3 Performance,2021-02-20,55900
3,P,Model 3 Performance,2021-02-21,55900
3,P,Model 3 Performance,2021-03-10,55900
3,P,Model 3 Performance,2021-03-11,55900
3,P,Model 3 Performance,2021-03-23,55900
3,P,Model 3 Performance,2021-03-24,55900
3,P,Model 3 Performance,2021-04-07,55900
3,P,Model 3 Performance,2021-04-08,56990
3,P,Model 3 Performance,2021-04-21,56990
3,P,Model 3 Performance,2021-04-22,56990
3,P,Model 3 Performance,2021-05-05,56990
3,P,Model 3 Performance,2021-05-06,56990
3,P,Model 3 Performance,2021-05-20,56990
3,P,Model 3 Performance,2021-05-21,56990
3,P,Model 3 Performance,2021-07-21,56990
3,P,Model 3 Performance,2021-07-22,56990
3,P,Model 3 Performance,2021-10-04,56990
3,P,Model 3 Performance,2021-10-05,57990
3,P,Model 3 Performance,2021-10-21,57990
3,P,Model 3 Performance,2021-10-22,57990
3,P,Model 3 Performance,2021-11-03,57990
3,P,Model 3 Performance,2021-11-04,58990
3,P,Model 3 Performance,2022-03-08,58990
3,P,Model 3 Performance,2022-03-09,58990
3,P,Model 3 Performance,2022-03-13,58990
3,P,Model 3 Performance,2022-03-14,61990
3,P,Model 3 Performance,2022-04-05,61990
3,P,Model 3 Performance,2022-04-06,62990
3,P,Model 3 Performance,2022-06-14,62990
3,P,Model 3 Performance,2022-06-15,62990
3,P,Model 3 Performance,2022-08-11,62990
3,P,Model 3 Performance,2022-08-12,62990
3,P,Model 3 Performance,2022-12-01,62990
3,P,Model 3 Performance,2022-12-22,62990
3,P,Model 3 Performance,2023-01-11,62990
3,P,Model 3 Performance,2023-01-12,53990
3,P,Model 3 Performance,2023-02-02,53990
3,P,Model 3 Performance,2023-02-03,53990
3,P,Model 3 Performance,2023-02-11,53990
3,P,Model 3 Performance,2023-02-12,53990
3,P,Model 3 Performance,2023-04-05,53990
3,P,Model 3 Performance,2023-04-06,52990
3,P,Model 3 Performance,2023-04-17,52990
3,P,Model 3 Performance,2023-04-18,52990
3,P,Model 3 Performance,2023-04-30,52990
3,P,Model 3 Performance,2023-05-01,53240
3,P,Model 3 Performance,2023-05-02,53240
3,P,Model 3 Performance,2023-05-19,53240
